freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED3_4,M,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14681 e	14841 e	15115 e	15098 e	15118 e	15606 e	15979 e	16199 e	16664 e	17193 e	18153 b	18158 	18883 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	15035 	15174 	15633 	15575 	15657 	16125 	16524 	16358 	17014 	17510 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,FI	: 	16988 	17649 	18388 	18918 	20237 	21435 	21528 	21830 	22401 	22904 	23512 	23304 	23316 	23983 	24561 	24780 	25207 	25253 	26170 	26950 
A,MED_E,EUR,ED3_4,M,Y_GE18,FR	: 	16315 	16959 	16968 	17140 	19557 	20310 	20786 	20316 b	20792 	21028 	21037 	21156 	21780 	21978 	22345 	22394 	22460 b	22733 	23019 b	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	6222 	5802 	5631 	5424 	5542 	5750 	5968 	6396 	6868 	7394 	8008 	8125 	9025 	9927 b
A,MED_E,EUR,ED3_4,M,Y_GE18,HU	: 	: 	3591 	4090 	4088 	4578 	4943 	4409 	4704 	4890 	4582 	4645 	4618 	4964 	5298 	5601 	6037 	6844 	6878 	7115 	7632 
A,MED_E,EUR,ED3_4,M,Y_GE18,IE	20337 	20368 	21639 	22842 	25475 	25183 	24581 	22267 	20284 	20209 	20244 	19822 	21105 	23439 	23448 	25159 	24790 	25968 b	28286 	30181 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,IS	: 	23664 	24676 	29513 	29768 	32816 	23158 	19099 	19536 	20088 	22077 	23339 	25152 	29212 	35280 	41713 	38837 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,IT	: 	16448 	17203 	17274 	17979 	18519 	18685 	18926 	18848 	18700 	17764 	17833 	18113 	18724 	19120 	19173 	19154 	20298 	19734 	20981 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,LT	: 	: 	2162 	2680 	3482 	4285 	5020 	4059 	3843 	4497 	4849 	4831 	5181 	5618 	6002 	6614 	7422 	8313 	9232 	9614 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,LU	27327 	28372 	30311 	31303 	31600 	32292 	33043 	34333 	34478 	35319 	36273 	36889 	37172 	35753 b	38753 	36264 	37753 	38125 b	42727 b	43236 b	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,LV	: 	: 	2279 	2817 	3804 	5279 	5902 	4763 	4434 	4752 	5026 	5651 	6061 	6563 	6869 	7524 	8108 	8663 	9569 	10143 	10998 
A,MED_E,EUR,ED3_4,M,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3193 	3123 	3158 	3267 	3593 	3857 	3973 	4094 	4000 	4438 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1975 	2130 	2188 	2325 	2506 	2729 	2864 	2998 	3313 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,MT	: 	: 	11035 	11105 	10951 	12566 	13054 	12605 	13656 	14233 	14917 	15398 	15999 	15668 	16612 	16811 	17544 	18419 	19907 	20316 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,NL	: 	: 	17769 	18015 	18747 	19896 	20671 	20850 	20422 	20896 	20791 	20376 	21106 	22381 b	23061 	23105 	23673 	25382 	27547 	28593 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,NO	28035 	26915 	26323 	29610 	30447 	33218 	35681 	34082 	37636 	40933 	45113 	45009 	43277 	41215 	40621 	41022 	41086 	41562 	36959 b	40388 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,PL	: 	: 	2605 	3160 	3604 	4250 	5220 	4498 	5077 	5103 	5239 	5378 	5565 	5833 	5847 	6491 	7072 	7795 	8065 	8762 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,PT	: 	10536 	10774 	10788 	12239 	11402 	11554 	12007 	11270 	10768 	10186 	10290 	10438 	10760 	10709 	10886 	11266 	12188 	12148 	11886 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,RO	: 	: 	: 	: 	1827 	2231 	2467 	2283 	2381 	2289 	2254 	2387 	2520 	2709 	3026 	3656 	4200 	4594 	5050 	5740 	6880 
A,MED_E,EUR,ED3_4,M,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2475 	2502 	2455 	2485 	2651 	2816 	3330 	3796 	4132 	4550 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,SE	: 	18314 	18478 	19058 	19986 	21353 b	21532 	20006 	22746 	24993 	26734 	27359 	26845 	27151 	27315 	27267 	26846 	26905 	27590 	28974 	29162 
A,MED_E,EUR,ED3_4,M,Y_GE18,SI	: 	: 	9339 	9778 	10165 	11061 	12127 	11818 	12088 	12108 	11701 	11665 	12049 	12049 	12420 	12831 	13740 	14418 	14760 	15769 	17522 
A,MED_E,EUR,ED3_4,M,Y_GE18,SK	: 	: 	2955 	3438 	4143 	4971 	5782 	6265 	6424 	7105 	6974 	6969 	7121 	7197 	7382 	7924 	8534 	9033 	8832 	9105 	9593 
A,MED_E,EUR,ED3_4,M,Y_GE18,TR	: 	: 	: 	3360 	3604 	4016 	4174 	3736 	4378 	4244 	4428 	4460 	4214 	4573 	4730 	4216 	3568 	3723 	3196 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,UK	: 	: 	20296 	21229 	22942 	19940 	17238 	18275 	17897 	19869 b	19707 	22100 	22057 	22577 	20981 b	22280 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2123 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2039 	2158 	2451 	2753 	2876 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,AT	16537 	17676 	18949 	18455 	18704 	19235 b	19864 	21316 	22456 	22813 	23093 	23454 	23591 	23614 	24879 	25106 	25889 	26571 	27270 	27100 	29759 
A,MED_E,EUR,ED3_4,M,Y_GE65,BE	12727 	12809 	13820 	14044 	14526 	16157 	16992 	16825 	17250 	17065 	19724 	19500 	19400 	18926 	19386 	19459 	21228 b	20577 	20908 	21568 	23058 
A,MED_E,EUR,ED3_4,M,Y_GE65,BG	: 	: 	: 	1279 	1344 	1846 	2221 	2834 	2743 	2575 	2647 	3336 	3155 	2982 b	3147 	3330 	3493 	3676 	4342 	4751 	5902 
A,MED_E,EUR,ED3_4,M,Y_GE65,CH	: 	: 	: 	: 	25654 	24732 	24521 	26425 	29746 	33598 	35125 	34259 b	35726 	39284 	37769 	36818 	34800 	37203 	37383 	37791 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,CY	: 	: 	13440 	13522 	15228 	16899 b	15930 	17579 	17433 	18120 	16999 	16510 	16954 	17331 	16809 	17445 	17770 	17685 	17374 	17048 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,CZ	: 	: 	3780 	4229 	4714 	5095 	6130 	6125 	6497 	6977 	7032 	6866 	6470 	6682 	6929 	7381 	7978 	8565 	9169 	9894 	11430 
A,MED_E,EUR,ED3_4,M,Y_GE65,DE	: 	: 	15990 	15284 	15391 	15694 	16215 	16784 	16836 	17200 	17265 	17440 	17719 	17573 	18369 	18640 	19421 	21677 b	21477 	20939 	21755 
A,MED_E,EUR,ED3_4,M,Y_GE65,DK	17239 	17600 	17553 	17576 	18176 	18628 	19704 	20160 	21575 b	21634 	22286 	22751 	22741 	22835 	23826 	24251 	24531 	25091 	25935 	26670 	27383 
A,MED_E,EUR,ED3_4,M,Y_GE65,EA	: 	: 	: 	: 	: 	17580 e	17799 e	18397 e	18561 e	18844 e	19276 e	19116 e	19315 e	19318 e	19636 e	19804 e	20242 	21305 b	21434 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EA18	: 	: 	15939 e	15564 e	15861 e	17105 e	17658 	18257 	18481 	18766 	19198 	19116 	19443 	19446 	19776 	19947 	20379 	21460 b	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EA19	: 	: 	15849 e	15476 e	15765 e	16999 e	17570 	18167 	18387 	18668 	19099 	18988 	19315 	19318 	19636 	19804 	20242 	21305 b	21434 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18916 	19112 	19111 	19419 	19590 	20019 	21077 	21194 	21151 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EE	: 	2211 	2423 	2842 	3288 	4057 	4775 	4960 	4775 	4904 	5213 	5551 b	5929 	6132 	6598 	6993 	8008 	8366 	8715 	9115 	9741 
A,MED_E,EUR,ED3_4,M,Y_GE65,EL	10092 	11613 	12209 	12600 	12533 	13367 	13592 	13767 	11213 	11169 	9733 	9265 	9500 	9770 	9329 	9080 	9373 	10257 	10550 	10550 	11100 
A,MED_E,EUR,ED3_4,M,Y_GE65,ES	: 	12725 	11976 	12000 	14416 	17474 b	18928 	17877 	19173 	18394 	16866 	17727 	17685 	17648 	17637 	17620 	18942 	19098 	20375 	20800 	22532 
A,MED_E,EUR,ED3_4,M,Y_GE65,EU	: 	: 	: 	: 	: 	14556 e	14959 e	15234 e	15346 e	16038 e	16342 e	16388 e	16726 e	16612 e	16398 e	16783 e	17096 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EU27_2007	: 	: 	13421 e	13415 e	13920 e	14556 e	14959 	15351 	15452 	16159 	16466 	16500 	16842 	16728 	16516 	16897 	17214 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	15172 e	15275 e	15808 e	16216 e	16121 e	16426 e	16325 e	16308 e	16545 e	16882 e	17532 b	17750 	18066 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	15234 	15346 	16038 	16342 	16388 	16726 	16612 	16398 	16783 	17096 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,FI	: 	14943 	15282 	15801 	16368 	16464 	17525 	19633 	19174 	20380 	20116 	20867 	21159 	21325 	21939 	22377 	22012 	22357 	22729 	22807 	23781 
A,MED_E,EUR,ED3_4,M,Y_GE65,FR	: 	18726 	18547 	17939 	18496 	22471 	23062 	24087 	23858 b	23812 	25100 	23617 	23930 	24414 	24462 	24515 	23793 	23090 b	22876 	22748 b	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	5268 	5735 	5485 	5318 	5308 	5344 	5516 	5692 	6103 	6255 	6713 	6686 	7182 	7752 b
A,MED_E,EUR,ED3_4,M,Y_GE65,HU	: 	: 	3984 	4131 	4140 	4768 	5071 	4562 	4748 	4868 	4978 	4943 	4924 	5093 	5305 	5547 	5584 	5914 	6166 	6952 	6582 
A,MED_E,EUR,ED3_4,M,Y_GE65,IE	18665 	18161 	20396 	19650 	22142 	23601 	26126 	25769 	23036 	22300 	22358 	24437 	25588 	26065 	24890 	27192 	25121 	25116 b	27197 	27809 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,IS	: 	20160 	19797 	24438 	24376 	28861 	21977 	18779 	18386 	18320 	20003 	21391 	22997 	26868 	31882 	38110 	36384 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,IT	: 	16995 	17931 	18609 	18906 	19836 	20169 	20710 	20499 	20874 	21026 	21207 	21694 	21969 	21591 	21564 	21898 	24016 	23959 	24358 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,LT	: 	: 	2068 	2317 	2777 	3748 	4589 	4511 	4019 	4181 	4435 	4298 	4396 	4676 	5079 	5297 	5856 	6513 	7159 	7361 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,LU	26493 	26635 	29133 	30017 	31543 	32215 	33775 	34160 	37807 	38941 	38353 	40243 	38356 	40694 b	39771 	42663 	44892 	46889 b	50641 b	49974 b	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,LV	: 	: 	1802 	2029 	2735 	3394 	4082 	4155 	4271 	4288 	4419 	4815 	4617 	4785 	4971 	5269 	5493 	6357 	7170 	8151 	8244 
A,MED_E,EUR,ED3_4,M,Y_GE65,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3852 	3672 	3700 	3760 	4013 	4873 	4508 	4648 	4309 	5024 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2409 	2568 	2718 	2970 	3090 	3182 	3202 	3307 	3705 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,MT	: 	: 	8059 u	8009 	7966 u	8570 	9889 	9606 	10074 	13427 	13528 	13813 	14779 	14873 	15028 	13907 	14135 	16544 	15979 	16439 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,NL	: 	: 	16409 	16395 	16812 	18399 	18245 	18307 	18749 	19340 	20425 	19701 	19910 	19732 b	20253 	20771 	21069 	21772 	22735 	23286 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,NO	24022 	23418 	22948 	23748 	27067 	29594 	31440 	30149 	34621 	37935 	42068 	42030 	40840 	38849 	36781 	38554 	37490 	37906 	34412 b	36646 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,PL	: 	: 	3355 	3952 	4303 	4748 	5610 	4895 	5508 	5691 	5798 	5932 	6180 	6412 	6173 	6575 	6925 	7577 	7743 	8456 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,PT	: 	10267 u	11576 u	16141 u	16673 u	15593 u	16833 	16609 	15700 	16538 	16443 	17457 	16705 	18549 	17509 	16973 	18903 	17818 	18343 	17233 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,RO	: 	: 	: 	: 	1869 	2372 	2819 	2788 	2903 	2900 	2766 	2925 	3044 	3172 	3329 	3756 	4087 	4408 	4912 	6319 	6899 
A,MED_E,EUR,ED3_4,M,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2958 	2957 	3001 	2982 	2973 	3066 	3403 	3733 	3988 	4347 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,SE	: 	17107 	17784 	19354 	19060 	18745 b	18987 	17861 	19817 	22248 	24365 	24902 	23164 	23252 	24222 	24755 	24083 	23371 	24456 	25103 	26142 
A,MED_E,EUR,ED3_4,M,Y_GE65,SI	: 	: 	9175 	9126 	9491 	9993 	10962 	11040 	11151 	11142 	10868 	11050 	11349 	11321 	11483 	11513 	11993 	12667 	13135 	13504 	14789 
A,MED_E,EUR,ED3_4,M,Y_GE65,SK	: 	: 	2692 	3077 	3478 	4134 	5011 	5426 	5661 	5992 	6293 	6424 	6624 	6660 	6643 	7079 	7226 	7693 	7998 	8318 	9214 
A,MED_E,EUR,ED3_4,M,Y_GE65,TR	: 	: 	: 	4865 u	4617 	5206 	5323 	4891 	6143 	5384 	5738 	6145 	5267 	5817 	5731 	5294 	4605 	5440 	4349 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,UK	: 	: 	16129 	17383 	18596 	16448 	15132 	15804 	15963 	18440 b	17772 	20316 	20732 	20883 	19375 b	20822 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,M,Y_GE65,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2476 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2013 	2243 	2535 	2817 	2825 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,AT	16733 	18110 	18898 	19086 	19383 	20758 b	21842 	22668 	23122 	23517 	23731 	24199 	24298 	24495 	25747 	26358 	26790 	27294 	28124 	28829 	32981 
A,MED_E,EUR,ED3_4,T,Y18-64,BE	16590 	16457 	17264 	17862 	18211 	18870 	20167 	20397 	20454 	20914 	22376 	22346 	21920 	22441 	22675 	24132 	24797 b	25639 	25659 	27119 	29032 
A,MED_E,EUR,ED3_4,T,Y18-64,BG	: 	: 	: 	1569 	1706 	2620 	3233 	3339 	3319 	3150 	3275 	3657 	3763 	3474 b	4082 	4000 	4819 	5191 	5602 	6004 	7146 
A,MED_E,EUR,ED3_4,T,Y18-64,CH	: 	: 	: 	: 	30193 	28194 	30620 	31741 	35305 	40542 	42086 	39688 b	40477 	45635 	44236 	43685 	43118 	43597 	44651 	45337 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,CY	: 	: 	13905 	15082 	16689 	16787 b	16881 	16334 	17078 	16938 	15507 	14159 	13231 	13473 	13819 	14874 	15835 	16352 	16291 	17155 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,CZ	: 	: 	4559 	5127 	5854 	6438 	7802 	7490 	7829 	8100 	8009 	7896 	7759 	8321 	8767 	9628 	10568 	11276 	11163 	12922 	14450 
A,MED_E,EUR,ED3_4,T,Y18-64,DE	: 	: 	17293 	17370 	18059 	18639 	18952 	19228 	19500 	19962 	19746 	19928 	20851 	21222 	21655 	22105 	23699 	26774 b	25804 	25874 	27154 
A,MED_E,EUR,ED3_4,T,Y18-64,DK	22283 	22632 	23616 	24314 	25175 	25663 	26360 	27307 	27815 b	28385 	28297 	28459 	29255 	29489 	30223 	31092 	31057 	31900 	33466 	34546 	34364 
A,MED_E,EUR,ED3_4,T,Y18-64,EA	: 	: 	: 	: 	: 	18202 e	18259 e	18436 e	18228 e	18393 e	18191 e	18161 e	18350 e	18860 e	19241 e	19598 e	20257 	21583 b	21381 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EA18	: 	: 	15728 	15941 	16494 	17638 	18095 	18259 	18120 	18286 	18093 	18161 	18498 	19008 	19383 	19728 	20387 	21717 b	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EA19	: 	: 	15528 	15750 	16310 	17459 	17928 	18086 	17955 	18129 	17947 	18007 	18350 	18860 	19241 	19598 	20257 	21583 b	21381 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17928 	18129 	18636 	19021 	19380 	20040 	21353 	21089 	21700 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EE	: 	2692 	3136 	3874 	4714 	5752 	6340 	5680 	5611 	5969 	6665 	7262 b	8119 	8828 	9403 	10572 	11546 	12334 	12572 	15057 	15070 
A,MED_E,EUR,ED3_4,T,Y18-64,EL	9241 	9905 	10212 	10478 	10804 	11500 	11800 	12167 	11019 	8799 	7979 	7312 	7300 	7214 	7325 	7660 	8061 	8585 	8620 	9325 	9843 
A,MED_E,EUR,ED3_4,T,Y18-64,ES	: 	11435 	11976 	12611 	13110 	15583 b	16109 	15795 	15122 	14473 	14157 	13741 	13748 	14166 	14532 	14882 	14975 	15824 	15518 	16320 	17637 
A,MED_E,EUR,ED3_4,T,Y18-64,EU	: 	: 	: 	: 	: 	14616 e	14871 e	14825 e	14955 e	15367 e	15267 e	15368 e	15859 e	16347 e	16252 e	16863 e	17455 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EU27_2007	: 	: 	12856 e	13333 e	14226 	14616 	14871 	14926 	15061 	15481 	15382 	15488 	15979 	16469 	16373 	16982 	17573 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14478 e	14649 e	14869 e	14806 e	14842 e	15354 e	15832 e	16096 e	16563 e	17196 e	18257 b	18144 	18876 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	14825 	14955 	15366 	15267 	15368 	15859 	16347 	16252 	16863 	17455 e	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,FI	: 	16794 	17436 	18297 	18770 	20004 	21262 	21261 	21630 	22269 	22946 	23296 	23325 	23166 	23895 	24499 	24941 	25293 	25362 	26320 	27277 
A,MED_E,EUR,ED3_4,T,Y18-64,FR	: 	15714 	16611 	16632 	16771 	19218 	19878 	20151 	19735 b	20146 	20384 	20359 	20455 	21021 	21374 	21513 	21693 	21512 b	21948 	22453 b	: 
A,MED_E,EUR,ED3_4,T,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	6365 	5844 	5664 	5403 	5546 	5763 	5988 	6472 	6995 	7567 	8171 	8399 	9246 	10338 b
A,MED_E,EUR,ED3_4,T,Y18-64,HU	: 	: 	3587 	4075 	4075 	4506 	4853 	4345 	4636 	4825 	4481 	4504 	4526 	4795 	5178 	5570 	6076 	6822 	6870 	7059 	7840 
A,MED_E,EUR,ED3_4,T,Y18-64,IE	19626 	19984 	20756 	22276 	24240 	24157 	23769 	21041 	19483 	19591 	18960 	18997 	20285 	21406 	22139 	24367 	24277 	25745 b	27560 	28989 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,IS	: 	23511 	24728 	29790 	30260 	33348 	22630 	18675 	19385 	20188 	22388 	23339 	25604 	29296 	35087 	41479 	38869 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,IT	: 	15908 	16621 	16733 	17385 	17926 	18041 	18236 	17812 	17803 	17009 	16928 	17005 	17894 	18119 	18243 	18227 	19102 	18317 	19509 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,LT	: 	: 	2052 	2563 	3340 	4171 	4771 	3876 	3629 	4291 	4626 	4738 	5137 	5572 	6002 	6809 	7446 	8301 	9287 	9761 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,LU	27090 	28343 	30215 	30897 	31057 	31674 	32765 	34092 	33446 	34237 	35663 	35372 	36429 	34281 b	37125 	34957 	35405 	36354 b	40383 b	41936 b	: 
A,MED_E,EUR,ED3_4,T,Y18-64,LV	: 	: 	2206 	2708 	3626 	5129 	5748 	4618 	4224 	4493 	4760 	5406 	5946 	6427 	6706 	7336 	8017 	8633 	9184 	9992 	10835 
A,MED_E,EUR,ED3_4,T,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3084 	3079 	3106 	3200 	3509 	3826 	3882 	3955 	3840 	4341 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2009 	2115 	2113 	2273 	2453 	2703 	2848 	2971 	3278 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,MT	: 	: 	11279 	11577 	11535 	12662 	13507 	12699 	13264 	13565 	14480 	15242 	15850 	15637 	16612 	16811 	17517 	18281 	19685 	20523 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,NL	: 	: 	17769 	17943 	18849 	19974 	20671 	20742 	20341 	20660 	20580 	20629 	21099 	22716 b	23463 	23766 	24296 	26071 	28756 	29517 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,NO	28377 	27140 	26417 	30596 	30633 	33290 	35540 	34097 	38102 	41135 	44868 	44720 	43173 	41164 	40496 	41042 	41226 	42047 	37262 b	41134 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,PL	: 	: 	2526 	3065 	3459 	4151 	5070 	4372 	4951 	4956 	5042 	5128 	5330 	5572 	5721 	6321 	6861 	7629 	7900 	8611 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,PT	: 	9729 	10046 	10043 	10698 	10343 	10451 	10765 	10251 	9865 	9580 	9444 	9626 	9916 	9746 	9983 	10594 	11365 	11253 	11123 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,RO	: 	: 	: 	: 	1863 	2247 	2490 	2283 	2293 	2230 	2195 	2305 	2445 	2647 	2935 	3620 	4165 	4663 	5188 	5670 	6808 
A,MED_E,EUR,ED3_4,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2436 	2457 	2353 	2403 	2534 	2736 	3285 	3781 	4094 	4554 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,SE	: 	18182 	18384 	18831 	19944 	21463 b	21684 	20043 	22960 	25429 	26830 	27629 	27353 	27704 	27929 	27934 	27107 	27491 	27942 	29342 	29555 
A,MED_E,EUR,ED3_4,T,Y18-64,SI	: 	: 	9305 	9820 	10119 	11070 	12123 	11817 	12083 	12035 	11700 	11558 	11986 	12025 	12427 	12939 	13908 	14720 	15140 	16287 	17970 
A,MED_E,EUR,ED3_4,T,Y18-64,SK	: 	: 	2982 	3455 	4178 	5021 	5858 	6374 	6514 	7189 	6974 	7038 	7196 	7231 	7455 	7999 	8640 	9235 	8947 	9171 	9548 
A,MED_E,EUR,ED3_4,T,Y18-64,TR	: 	: 	: 	3472 	3698 	4169 	4276 	3888 	4538 	4367 	4505 	4543 	4344 	4650 	4786 	4236 	3586 	3680 	3136 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,UK	: 	: 	20375 	21161 	22873 	19796 	16945 	17774 	17377 	19270 b	19008 	21227 	21350 	21557 	20507 b	21120 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y18-64,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2110 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED3_4,T,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2023 	2243 	2527 	2814 	2845 	: 	: 
A,MED_E,EUR,ED3_4,T,Y_GE18,AT	16701 	18028 	18840 	18961 	19271 	20383 b	21481 	22449 	22912 	23240 	23499 	24055 	24123 	24352 	25549 	26063 	26500 	27089 	27796 	28352 	32170 
A,MED_E,EUR,ED3_4,T,Y_GE18,BE	16000 	16109 	16800 	17373 	17742 	18326 	19753 	19725 	20041 	20369 	21815 	21485 	21289 	21828 	21707 	23163 	23983 b	24559 	24648 	25903 	27212 
A,MED_E,EUR,ED3_4,T,Y_GE18,BG	: 	: 	: 	1528 	1644 	2515 	3104 	3265 	3217 	3038 	3162 	3557 	3602 	3324 b	3813 	3772 	4473 	4800 	5210 	5490 	6657 
A,MED_E,EUR,ED3_4,T,Y_GE18,CH	: 	: 	: 	: 	29509 	27506 	29495 	31026 	33749 	39099 	40290 	38453 b	39552 	44065 	42737 	41981 	40749 	41485 	42231 	43443 	: 
A,MED_E,EUR,ED3_4,T,Y_GE18,CY	: 	: 	13861 	15057 	16599 	16777 b	16863 	16334 	17078 	16949 	15597 	14208 	13447 	13631 	14056 	15029 	16046 	16458 	16384 	17155 	: 
A,MED_E,EUR,ED3_4,T,Y_GE18,CZ	: 	: 	4361 	4902 	5547 	6169 	7408 	7120 	7493 	7772 	7647 	7540 	7343 	7738 	8173 	8861 	9742 	10394 	10342 	11829 	13324 
A,MED_E,EUR,ED3_4,T,Y_GE18,DE	: 	: 	17001 	16867 	17485 	18014 	18331 	18616 	18913 	19285 	19187 	19261 	20007 	20321 	20745 	21220 	22389 	25211 b	24553 	24559 	25597 
A,MED_E,EUR,ED3_4,T,Y_GE18,DK	21810 	21932 	22896 	23526 	24217 	24666 	25494 	25890 	26448 b	26769 	26638 	27036 	27499 	27257 	28385 	29325 	28872 	29719 	30854 	31520 	31758 
