freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED0-2,F,Y18-64,LT	: 	: 	1614 	1860 	2360 	2768 	3375 	3075 	2594 	2924 	2910 	3594 	3568 	3664 	3726 	4764 	5275 	6458 	6900 	7821 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,LU	22505 	23678 	24261 	24269 	24575 	25400 	25773 	26000 	26380 	26321 	25652 	26850 	27662 	26744 b	28409 	27152 	27646 	26792 b	30127 b	33361 b	: 
A,MED_E,EUR,ED0-2,F,Y18-64,LV	: 	: 	1590 	1657 	2387 	3508 	3780 	3127 	3003 	3077 	3335 	3667 	3969 	4314 	4563 	5337 	5877 	6268 	6569 	7024 	8717 
A,MED_E,EUR,ED0-2,F,Y18-64,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2008 	1988 	2068 	2038 	2278 	2256 	2286 	2689 	2610 	3183 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1328 	1459 	1528 	1631 	1666 	1779 	1838 	1877 	2080 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,MT	: 	: 	8452 	8740 	8930 	9580 	9935 	9930 	10033 	10557 	10719 	11262 	11681 	11928 	12533 	12955 	13270 	14143 	14235 	15433 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,NL	: 	: 	15409 	15790 	16357 	17382 	17954 	17759 	18029 	18002 	18528 	17891 	17914 	18863 b	19721 	20534 	21317 	21950 	23684 	24206 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,NO	26339 	25380 	24171 	27154 	27242 	29845 	31182 	30085 	33234 	35563 	38736 	39448 	34868 	34203 	33559 	34459 	33299 	34878 	31119 b	34016 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,PL	: 	: 	1929 	2350 	2661 	3224 	3963 	3271 	3761 	3876 	3888 	3980 	4043 	4326 	4636 	5038 	5450 	5942 	6430 	7184 	: 
A,MED_E,EUR,ED0-2,F,Y18-64,PT	: 	6635 	6877 	6953 	7144 	7603 	7700 	7976 	7715 	7509 	7310 	6975 	7175 	7444 	7760 	8070 	8590 	9041 	9278 	9265 	: 
